number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.664,2026-07-22 00:01:28.877994,2026-07-22 00:02:45.744529,0 days 00:01:16.866535,20,sqrt,6,15,144,COMPLETE
1,0.665,2026-07-22 00:02:45.748289,2026-07-22 00:02:57.644767,0 days 00:00:11.896478,18,log2,8,13,64,COMPLETE
2,0.674,2026-07-22 00:02:57.647883,2026-07-22 00:03:09.659663,0 days 00:00:12.011780,6,log2,2,5,258,COMPLETE
3,0.678,2026-07-22 00:03:09.663828,2026-07-22 00:03:20.960013,0 days 00:00:11.296185,8,log2,2,13,158,COMPLETE
4,0.667,2026-07-22 00:03:20.967250,2026-07-22 00:03:32.778892,0 days 00:00:11.811642,17,sqrt,6,5,164,COMPLETE
5,0.676,2026-07-22 00:03:32.780600,2026-07-22 00:03:47.710946,0 days 00:00:14.930346,6,sqrt,10,3,202,COMPLETE
6,0.659,2026-07-22 00:03:47.714283,2026-07-22 00:04:00.498512,0 days 00:00:12.784229,4,log2,5,15,126,COMPLETE
7,0.664,2026-07-22 00:04:00.503595,2026-07-22 00:04:16.339933,0 days 00:00:15.836338,19,log2,7,6,58,COMPLETE
8,0.681,2026-07-22 00:04:16.347250,2026-07-22 00:04:29.529582,0 days 00:00:13.182332,6,sqrt,8,20,187,COMPLETE
9,0.65,2026-07-22 00:04:29.535751,2026-07-22 00:04:42.226704,0 days 00:00:12.690953,19,log2,2,3,200,COMPLETE
10,0.673,2026-07-22 00:04:42.229570,2026-07-22 00:04:55.147227,0 days 00:00:12.917657,13,sqrt,10,20,290,COMPLETE
11,0.657,2026-07-22 00:04:55.150285,2026-07-22 00:05:09.868572,0 days 00:00:14.718287,10,sqrt,4,20,197,COMPLETE
12,0.67,2026-07-22 00:05:09.871944,2026-07-22 00:05:22.473061,0 days 00:00:12.601117,10,log2,1,10,120,COMPLETE
13,0.675,2026-07-22 00:05:22.475329,2026-07-22 00:05:34.798627,0 days 00:00:12.323298,8,sqrt,4,17,239,COMPLETE
14,0.643,2026-07-22 00:05:34.801142,2026-07-22 00:05:46.190414,0 days 00:00:11.389272,3,log2,8,10,98,COMPLETE
15,0.659,2026-07-22 00:05:46.192725,2026-07-22 00:05:58.358729,0 days 00:00:12.166004,12,sqrt,3,10,169,COMPLETE
16,0.677,2026-07-22 00:05:58.360388,2026-07-22 00:06:12.719014,0 days 00:00:14.358626,7,sqrt,9,17,233,COMPLETE
17,0.657,2026-07-22 00:06:12.724975,2026-07-22 00:06:24.516205,0 days 00:00:11.791230,14,log2,1,13,176,COMPLETE
18,0.664,2026-07-22 00:06:24.519025,2026-07-22 00:06:35.986133,0 days 00:00:11.467108,10,sqrt,5,18,94,COMPLETE
19,0.661,2026-07-22 00:06:35.989233,2026-07-22 00:06:47.544824,0 days 00:00:11.555591,4,log2,7,8,224,COMPLETE
